Ciudad,via,tipo radar,km,direccion
Ávila,CL-507,Radar Móvil,5.750-26.240,26.240
Ávila,CL-510,Radar Móvil,44.440-63.300,63.300
Ávila,CL-605,Radar Móvil,53.940-82.240,82.240
Ávila,CL-605,Radar Móvil,82.240-93.800,93.800
Ávila,CL-610,Radar Móvil,64.700-70.550,70.550
Ávila,CL-610,Radar Móvil,70.550-83.080,83.080
Ávila,N-110,Radar Fijo,260,Creciente
Ávila,N-110,Radar Móvil,230.960-239.270,239.270
Ávila,N-110,Radar Móvil,240.690-244.320,244.320
Ávila,N-110,Radar Móvil,259.000-262.600,262.600
Ávila,N-110,Radar Móvil,262.600-352.040,352.040
Ávila,N-403,Radar Tramo,113.16(4.469m),m)
Ávila,N-403,Radar Tramo,118.05(4.472m),m)
Ávila,N-403,Radar Móvil,131.760-132.650,132.650
Ávila,N-403,Radar Móvil,140.600-165.070,165.070
Ávila,N-403,Radar Móvil,82.970-127.470,127.470
Ávila,N-403,Radar Fijo,89.4,Creciente
Ávila,N-501,Radar Móvil,34.490-48.640,48.640
Ávila,N-501,Radar Móvil,5.630-24.150,24.150
Ávila,N-502,Radar Móvil,6.210-78.410,78.410
Ávila,N-601,Radar Móvil,108.490-109.700,109.700
Ávila,N-601,Radar Móvil,109.700-111.630,111.630
Ávila,N-VI,Radar Móvil,108.390-110.100,110.100
Ávila,N-VI,Radar Móvil,89.900-93.730,93.730
Ávila,N-VI,Radar Móvil,97.690-103.760,103.760
Badajoz,A-5,Radar Fijo,366.765,Decreciente
Badajoz,A-5,Radar Fijo,332.72,Creciente
Badajoz,A-5,Radar Fijo,379.02,Creciente
Badajoz,A-66,Radar Fijo,657.523,Creciente
Badajoz,A-66,Radar Fijo,685.926,Decreciente
Badajoz,BA-100,Radar Móvil,0.340-17.070,17.070
Badajoz,BA-154,Radar Móvil,0.000-4.220,4.220
Badajoz,EX-100,Radar Móvil,37.040-80.570,80.570
Badajoz,EX-101,Radar Móvil,5.640-15.360,15.360
Badajoz,EX-103,Radar Móvil,22.310-54.780,54.780
Badajoz,EX-104,Radar Móvil,36.980-78.540,78.540
Badajoz,EX-105,Radar Móvil,0.000-53.000,53.000
Badajoz,EX-105,Radar Móvil,68.500-92.320,92.320
Badajoz,EX-105,Radar Móvil,95.190-111.700,111.700
Badajoz,EX-107,Radar Móvil,1.210-24.050,24.050
Badajoz,EX-110,Radar Móvil,9.400-69.500,69.500
Badajoz,EX-112,Radar Móvil,29.840-71.410,71.410
Badajoz,EX-114,Radar Móvil,0.000-8.970,8.970
Badajoz,EX-202,Radar Móvil,33.410-34.170,34.170
Badajoz,EX-206,Radar Fijo,92.315,Decreciente
Badajoz,EX-206,Radar Móvil,97.420-102.100,102.100
Badajoz,EX-211,Radar Móvil,0.000-16.260,16.260
Badajoz,EX-300,Radar Móvil,24.410-30.920,30.920
Badajoz,EX-307,Radar Móvil,9.090-12.780,12.780
Badajoz,EX-310,Radar Móvil,0.420-23.240,23.240
Badajoz,EX-313,Radar Móvil,0.000-19.300,19.300
Badajoz,EX-334,Radar Móvil,2.370-26.910,26.910
Badajoz,EX-342,Radar Móvil,8.280-9.990,9.990
Badajoz,EX-A2-R1,Radar Móvil,0.000-4.010,4.010
Badajoz,N-430,Radar Fijo,113.174,Creciente
Badajoz,N-430,Radar Móvil,140.610-167.210,167.210
Badajoz,N-432,Radar Fijo,111.654,Creciente
Badajoz,N-432,Radar Fijo,142.454,Decreciente
Badajoz,N-432,Radar Móvil,1.690-19.570,19.570
Badajoz,N-432,Radar Fijo,33.31,Decreciente
Badajoz,N-432,Radar Móvil,41.570-72.180,72.180
Badajoz,N-432,Radar Tramo,80.98(14.708m),m)
Badajoz,N-432,Radar Tramo,95.49(14.708m),m)
Badajoz,N-435,Radar Fijo,68.048,Creciente
Badajoz,N-435,Radar Móvil,35.880-70.780,70.780
Badajoz,N-435a,Radar Móvil,32.830-35.780,35.780
Badajoz,N-630,Radar Fijo,636.158,Decreciente
Badajoz,N-630,Radar Móvil,653.380-669.050,669.050
Badajoz,N-630,Radar Móvil,669.050-677.540,677.540
Islas Baleares,C-731,Radar Móvil,1.570-13.600,13.600
